,match_no,xmae,metric
0,1,,season_avg_xg
1,2,1.0154820402298852,season_avg_xg
2,3,0.9783866977664688,season_avg_xg
3,4,0.9208365791701948,season_avg_xg
4,5,0.9839939419554804,season_avg_xg
5,6,0.9635041561003098,season_avg_xg
6,7,0.9238676505118812,season_avg_xg
7,8,0.9486790963920085,season_avg_xg
8,9,0.9239613591536667,season_avg_xg
9,10,0.9169213692290615,season_avg_xg
10,11,0.9180251453838731,season_avg_xg
11,12,0.9236792185460825,season_avg_xg
12,13,0.856988344988345,season_avg_xg
13,14,0.9028478282072957,season_avg_xg
14,15,0.9237455079220003,season_avg_xg
15,16,0.9184311162524486,season_avg_xg
16,17,0.8948660669395962,season_avg_xg
17,18,0.9376879848820043,season_avg_xg
18,19,0.908143007768871,season_avg_xg
19,20,0.927549005227262,season_avg_xg
20,21,0.9205394567512256,season_avg_xg
21,22,0.9094906020038946,season_avg_xg
22,23,0.8921062196833521,season_avg_xg
23,24,0.910477452516165,season_avg_xg
24,25,0.9328897104891558,season_avg_xg
25,26,0.9102875495158783,season_avg_xg
26,27,0.913075267119652,season_avg_xg
27,28,0.8989203612167134,season_avg_xg
28,29,0.9482791097002908,season_avg_xg
29,30,0.9387240565922492,season_avg_xg
30,31,0.9152689856841445,season_avg_xg
31,32,0.9071875571594873,season_avg_xg
32,33,0.9483982223818493,season_avg_xg
33,34,0.9061669275664611,season_avg_xg
34,35,0.9171859765030168,season_avg_xg
35,36,0.9357849557733394,season_avg_xg
36,37,0.9094341444084711,season_avg_xg
37,38,0.9709859453363503,season_avg_xg
