probability_bin,projected_mean,count,observed_mean,mean_absolute_error,weighted_mae,metric
"(0.0, 0.05]",0.03308092244967449,11,0.2727272727272727,0.23964635027759823,2.6361098530535805,season_avg_xg
"(0.05, 0.1]",0.08397049685108823,54,0.12962962962962962,0.04565913277854139,2.465593170041235,season_avg_xg
"(0.1, 0.15]",0.1299093956568007,299,0.13712374581939799,0.007214350162597277,2.157090698616586,season_avg_xg
"(0.15, 0.2]",0.18050201990155004,1308,0.14755351681957188,0.032948503081978164,43.09664203122744,season_avg_xg
"(0.2, 0.25]",0.23298671777896568,9088,0.22535211267605634,0.0076346051029093365,69.38329117524005,season_avg_xg
"(0.25, 0.3]",0.27136825762029365,17666,0.2630476621759312,0.008320595444362477,146.99163912010752,season_avg_xg
"(0.3, 0.35]",0.32528031202019236,9009,0.29892329892329894,0.026357013096893422,237.45033098991286,season_avg_xg
"(0.35, 0.4]",0.37456675467162664,9205,0.36230309614340034,0.012263658528226307,112.88697675232315,season_avg_xg
"(0.4, 0.45]",0.42310182635681226,6688,0.4473684210526316,0.02426659469581932,162.29498532563963,season_avg_xg
"(0.45, 0.5]",0.4727235594384846,3917,0.5225938218023998,0.049870262363915174,195.34181767945574,season_avg_xg
"(0.5, 0.55]",0.5218648333757628,2025,0.5881481481481482,0.06628331477238536,134.22371241408035,season_avg_xg
"(0.55, 0.6]",0.5722681398841911,874,0.6613272311212814,0.08905909123709033,77.83764574121695,season_avg_xg
"(0.6, 0.65]",0.6228642035054038,437,0.6887871853546911,0.06592298184928724,28.808343068138527,season_avg_xg
"(0.65, 0.7]",0.6724398707034243,190,0.7052631578947368,0.032823287191312556,6.236424566349386,season_avg_xg
"(0.7, 0.75]",0.720131852592889,81,0.7160493827160493,0.004082469876839689,0.33068006002401484,season_avg_xg
"(0.75, 0.8]",0.7655806476756035,28,0.8214285714285714,0.055847923752967876,1.5637418650831005,season_avg_xg
"(0.8, 0.85]",0.8358245793012059,7,0.7142857142857143,0.1215388650154916,0.8507720551084412,season_avg_xg
"(0.85, 0.9]",0.8790737583039743,3,0.3333333333333333,0.545740424970641,1.637221274911923,season_avg_xg
"(0.9, 0.95]",0.9086434955186833,1,0.0,0.9086434955186833,0.9086434955186833,season_avg_xg
